timestamp,temperature,distance,accel_x,accel_y,accel_z
1759512644.7846177,29.9,995.9,0.09,-0.03,1.14
1759512645.344456,29.9,1053.23,0.09,-0.03,1.14
1759512645.9076726,29.9,1027.12,0.1,-0.03,1.15
1759512646.4693105,29.9,1054.05,0.09,-0.03,1.15
1759512647.2840185,29.9,1053.25,0.09,-0.03,1.14
1759512647.847268,29.9,1029.91,0.1,-0.03,1.14
1759512648.4091241,29.9,1054.94,0.09,-0.03,1.14
1759512648.9723816,29.9,1029.07,0.1,-0.03,1.14
1759512649.534128,29.9,287.03,0.1,-0.03,1.15
1759512650.052597,29.9,287.45,0.1,-0.03,1.14
1759512650.571122,29.9,287.0,0.09,-0.04,1.14
1759512651.0896015,29.9,1008.98,0.1,-0.03,1.14
1759512651.650185,29.9,1031.06,0.1,-0.03,1.15
1759512652.2121093,29.9,1053.2,0.09,-0.03,1.14
1759512652.7753255,29.9,1051.95,0.09,-0.13,1.03
1759512653.339736,29.9,1052.9,0.04,-0.01,1.05
1759512653.9028556,29.9,180.24,0.1,-0.11,1.13
1759512654.415118,29.9,263.56,0.04,-0.19,1.0
1759512654.9322658,29.9,163.56,-0.31,-0.19,1.39
1759512655.4435532,29.9,151.26,0.39,0.16,1.1
1759512656.2057343,29.9,1011.72,0.06,-0.13,1.09
1759512656.7665946,29.9,1052.04,0.18,0.47,0.95
1759512657.3297205,29.9,210.77,0.06,-0.2,1.12
1759512657.8437812,29.9,1017.39,0.28,0.0,1.44
1759512658.4048958,29.9,196.21,0.18,-0.0,1.11
1759512658.918683,29.9,195.52,0.04,-0.01,1.09
1759512659.4319062,29.9,195.22,0.14,-0.05,1.19
1759512659.9456205,29.9,194.84,0.05,0.12,0.99
1759512660.458825,29.9,194.36,0.12,0.03,1.08
1759512660.9720058,29.9,192.68,-0.04,-0.15,1.1
1759512661.4850361,29.9,176.3,-0.12,-0.01,1.06
1759512661.9971328,29.9,165.42,0.12,0.05,1.15
1759512662.7600727,29.9,154.34,-0.07,0.08,1.28
1759512663.2708302,29.9,150.33,0.08,-0.04,1.14
1759512663.7813458,29.9,150.29,0.09,-0.03,1.15
1759512664.2919211,29.9,150.75,0.09,-0.04,1.14
1759512664.8024395,29.9,150.79,0.08,-0.04,1.15
1759512665.3130102,29.9,150.74,0.08,-0.03,1.14
1759512665.8236284,29.9,150.79,0.08,-0.04,1.14
1759512666.3342435,29.9,137.55,0.08,-0.04,1.15
1759512667.0958056,29.9,136.71,0.09,-0.04,1.15
1759512667.6055527,29.9,137.13,0.08,-0.03,1.15
1759512668.1153097,29.9,149.05,0.09,-0.03,1.15
1759512668.625802,29.9,149.0,0.08,-0.04,1.14
1759512669.136263,29.9,150.34,0.08,-0.03,1.14
1759512669.6468482,29.9,135.75,0.09,-0.04,1.15
1759512670.1565173,29.9,42.79,0.09,-0.03,1.15
